tf,target,edge_sign,obs_coexpr
RUNX1,VEGFA,-1,0.020345347768107737
SMAD3,VEGFA,1,-0.11417756715299435
SMAD4,VEGFA,-1,-0.1509524939964894
TP53,VEGFA,-1,-0.09798121463982103
TWIST1,VEGFA,1,-0.031823679959728964
TRPS1,VEGFA,1,-0.15947112446900782
HIF1A,VEGFA,1,0.042074289145685784
EP300,VEGFA,1,-0.08634440784721428
DNMT3A,WIF1,1,0.015730181408967245
DNMT3B,WIF1,1,-0.07247939873153225
ESR1,WIF1,1,-0.1345796657549418
MYC,WIF1,1,0.13113726461586062
MYC,XRCC4,1,-0.03358615841308725
E2F1,ZEB1,1,-0.057132681952273
ESR1,ZEB1,1,-0.0379318251895541
GATA3,ZEB1,1,0.017126881679082096
PGR,ZEB1,1,0.1326443059082686
TWIST1,ZEB1,1,0.374991141959475
EP300,ZEB1,1,0.09073515877986474
AR,TRPS1,1,0.12920649224541728
ESR1,TRPS1,1,0.4111980652560691
MYC,CCT3,1,0.07985646472118965
TP53,BNIP3L,1,0.10985146482942329
HIF1A,BNIP3L,1,0.15066913291908937
E2F1,SIAH1,1,-0.0026681609266714125
TP53,SIAH1,1,0.05883707742240808
TP53,CDC42BPA,1,-0.021837391525199007
DNMT3B,DLC1,1,0.12904261147559268
ESR1,DLC1,1,0.1440257841525882
ESR1,RNF115,1,0.16073867898734273
MYC,NIT1,1,-0.3329366135488211
AR,CCAR2,1,0.22064442769198817
ESR1,CCAR2,1,0.1241882831287046
TP53,CCAR2,1,0.05039744111056154
E2F1,RNF2,1,0.041183705449049125
AR,BTG2,-1,0.22755409179743089
ESR1,BTG2,-1,0.358662970943677
FOXM1,BTG2,1,-0.48142383656586235
TP53,BTG2,1,0.09513629411614305
HIF1A,BTG2,1,-0.07317787655249938
CNOT7,PMP22,1,0.237916999529452
MYC,RGS2,1,0.335551913724502
PITX2,RGS2,1,0.26653585815879804
MYC,PEX19,-1,-0.021863443536292528
FOXA1,LOXL2,1,0.022080040156132495
SMAD3,ITGA11,1,-0.09865013387795239
MYC,IER3,-1,-0.025810411083956545
RUNX1,IER3,1,0.06195133969421033
TP53,IER3,1,-0.007136201906094072
ESR1,LDLR,1,-0.08695539470549618
TP53,CSNK2A2,1,-0.02585856308699955
ESR1,MICB,1,-0.06256933059319687
E2F1,DUSP1,1,-0.1138685145662106
MYC,DUSP1,-1,0.3698741005206421
