tf,target,edge_sign,is_edge,null,slope,slope_lo,slope_hi,frac_patients_neg,n,obs_coexpr
ARID1A,LOX,0,0,real,0.0006445423219313114,0.0005987958200010267,0.0006893787485461866,0.14171122994652408,748,0.24836657875991502
ARID1A,GABRP,0,0,real,-0.00045088618668377364,-0.000525935662075307,-0.0003796681600669325,0.6417112299465241,748,0.02967752312432959
ARID1A,AKT1,0,0,real,0.010195323511370443,0.009973303627514541,0.010399397080942637,0.0,748,0.41254708473556373
BRCA1,ASPM,1,1,real,0.006108285016347048,0.005937983670777021,0.006280272351342349,0.008021390374331552,748,0.6128193865491278
BRCA1,ATM,1,1,real,0.005368529584710343,0.005236367443554666,0.005498603186566995,0.0,748,0.25481693216598617
BRCA1,BRCA2,1,1,real,0.008614516073386326,0.008480550480520712,0.008765836462389709,0.001336898395721925,748,0.5807184409218504
BRCA1,CCNB1,1,1,real,0.005705926908593487,0.005563769460006853,0.005841529933585697,0.004010695187165776,748,0.5298721254553093
BRCA1,CCND1,1,1,real,0.01050045916457028,0.010224348880740095,0.010779575838768813,0.0,748,0.3572145910103777
BRCA1,CDH3,-1,1,real,-0.003081860607398638,-0.0031931443248710265,-0.0029691866879136036,0.983957219251337,748,-0.03688872215381856
BRCA1,CDKN1B,1,1,real,0.012781906053432181,0.012379267739341428,0.013207923379643077,0.0,748,0.24220248856035062
BRCA1,EGFR,-1,1,real,-0.0013766903892564533,-0.0014783731307375786,-0.001280266943036158,0.8502673796791443,748,-0.07766863711297323
BRCA1,ESR1,1,1,real,0.0029570612874224036,0.0028396018378564363,0.0030777872766651554,0.004010695187165776,748,0.2598655818564718
BRCA1,FOXC1,-1,1,real,-0.0030929375954931878,-0.0032100481349103716,-0.002976580035155588,0.9799465240641712,748,-0.13476477856445845
BRCA1,IGF1R,1,1,real,0.007718372766099498,0.007490996415925016,0.007931965765307337,0.0,748,0.25473266493788355
BRCA1,KRT5,1,1,real,0.0002120362995640637,8.478549875172763e-05,0.00034614902944366357,0.46524064171123,748,-0.17130111669128809
BRCA1,MDM2,1,1,real,0.013994060108834902,0.013617156937397991,0.014355218064161549,0.0,748,0.39917584703566844
BRCA1,MYC,1,1,real,0.0021208541785282167,0.001990418307026251,0.0022239568629918395,0.06818181818181818,748,0.1759185885553722
BRCA1,VEGFA,1,1,real,0.0007889086190518154,0.0007066513006291109,0.0008690684401939013,0.20855614973262032,748,0.1296340226136769
BRCA1,KCNK1,0,0,real,0.000510800733279152,0.00043409874887909616,0.0005823702538154003,0.2580213903743315,748,0.1301876748016679
BRCA1,C1S,0,0,real,-0.001408432875909309,-0.0014879144164368363,-0.0013288820952057929,0.9010695187165776,748,-0.12042402463119994
BRCA1,CST7,0,0,real,-0.0024569821203668718,-0.0025457490317161587,-0.002369638424483544,0.9812834224598931,748,-0.18904373530427665
BRCA1,PTTG1,0,0,real,0.0021292646923525777,0.0020295379038525784,0.0022222183128165654,0.05614973262032086,748,0.326259759261368
BRCA1,PLOD2,0,0,real,0.0008647602168119327,0.0007806368490640369,0.0009519645941208006,0.22192513368983957,748,0.29756051036845194
BRCA1,CDKN2A,0,0,real,0.0004747677920635217,0.00038059966915715424,0.0005598193032755452,0.32486631016042783,748,-0.053811142623912414
BRCA1,MTDH,0,0,real,0.0017239391166673646,0.0016287962110723914,0.0018207085145661864,0.06417112299465241,748,0.5264064158737523
BRCA1,CCND2,0,0,real,-0.00011785713376381097,-0.00020451763839877737,-3.6772842130519506e-05,0.5494652406417112,748,-0.09602757347912813
BRCA1,CD55,0,0,real,0.001457625704795892,0.0013747683235044862,0.0015349355983878224,0.08689839572192513,748,0.11857402604209709
BRCA1,RGS1,0,0,real,-0.0007446585529784335,-0.0008339083312393074,-0.0006562173747479968,0.7513368983957219,748,-0.023588166670125386
BRCA1,FAM107B,0,0,real,0.00012764801344304681,6.248810392768697e-05,0.0001916852457728573,0.3997326203208556,748,0.1431071625149742
BRCA1,ACLY,0,0,real,0.0056548895251666625,0.005494942927609387,0.005811509112972742,0.001336898395721925,748,0.5693029337881489
BRCA1,ELN,0,0,real,-0.002980630975772765,-0.003095885493099289,-0.0028741541160127405,0.983957219251337,748,-0.2167761358387608
BRCA1,CEP55,0,0,real,0.0045451375544187395,0.004433410744661708,0.0046477131139646384,0.004010695187165776,748,0.5223007799760556
BRCA1,S100A6,0,0,real,-0.003174499362506264,-0.003280148052008872,-0.003061594824113057,0.9852941176470589,748,-0.18548311719600935
BRD4,BCL2,1,1,real,0.009299774653877591,0.009052484533245262,0.009564295503370623,0.0,748,0.16915195346763998
BRD4,STC2,1,1,real,0.003927836072740745,0.003799086066669287,0.0040702976266635185,0.0053475935828877,748,0.09880344577589893
BRD4,FAM107B,0,0,real,-5.3807371752518964e-06,-6.393814670380993e-05,5.1055092705079986e-05,0.49064171122994654,748,0.16948818936160448
BRD4,CDC20,0,0,real,-0.0004793761767456947,-0.0005512362431299843,-0.00041179453302714184,0.7032085561497327,748,0.14961962003515242
CBFB,RUNX1,1,1,real,0.01007786513610831,0.009755029482961012,0.01041773822254654,0.0,748,0.20068515209954968
CBFB,BRD4,0,0,real,0.0011393296351380744,0.0010683566472371095,0.0012165690856662445,0.1323529411764706,748,0.2877127881052607
DNMT1,APC,1,1,real,-0.0006929273438206641,-0.0007633916282181337,-0.0006191289274282622,0.7633689839572193,748,0.24044262182480622
DNMT1,AR,1,1,real,0.0007747644921698325,0.0006725459089475713,0.000882298087995041,0.2606951871657754,748,0.021467032781326275
DNMT1,BAG1,1,1,real,0.007288917968109409,0.007082085102793858,0.007507136006710502,0.0,748,0.02074353447310302
DNMT1,BBC3,1,1,real,-0.001265679192297666,-0.0013536444576110595,-0.001179134364777541,0.8409090909090909,748,0.08748338249544839
DNMT1,BCL2,1,1,real,0.007543604720861994,0.007339433794361812,0.0077573543623408936,0.0,748,0.05181754667264791
DNMT1,BIRC5,-1,1,real,0.006377028687375661,0.00621820812715685,0.006530492676220922,0.001336898395721925,748,0.41793398402303844
DNMT1,BRCA1,1,1,real,0.02650582730187412,0.026042619507667255,0.027003218893948678,0.0,748,0.47428595006192814
DNMT1,CCNB2,1,1,real,0.00014746353061746855,7.692226097933869e-05,0.00021262715776897552,0.4144385026737968,748,0.4574333898775011
