tf,target,edge_sign,is_edge,null,mask_mode,n_targets_of_tf,slope,slope_lo,slope_hi,frac_patients_neg,n,obs_coexpr
FOXA1,HOXB13,1,1,real,rna_only,17,0.00022688611886180184,0.00011550153368036489,0.00034643775856731725,0.49866310160427807,748,-0.19164541214091704
FOXA1,MYC,1,1,real,rna_only,17,-0.0008036107262729289,-0.0009206299255697501,-0.0006690385313177519,0.6911764705882353,748,-0.263768481463892
FOXA1,NF1,1,1,real,rna_only,17,0.02317730631499174,0.02273865144408048,0.023652255099037258,0.0,748,0.44622639261557767
FOXA1,SNAI2,-1,1,real,rna_only,17,-0.00019106455902617286,-0.000287026649848568,-0.00010009939328799857,0.5882352941176471,748,-0.12008465955093585
FOXA1,UBE2C,1,1,real,rna_only,17,0.0028058123123232753,0.002672789827432841,0.0029458142561207606,0.06818181818181818,748,-0.2675014258500485
FOXA1,NES,1,1,real,rna_only,17,-0.0024517976156802792,-0.0025809830900104464,-0.002338684804818706,0.9358288770053476,748,-0.29078394928822476
FOXA1,ELF3,-1,1,real,rna_only,17,0.00952150351131325,0.00924332084195645,0.00978216204932852,0.001336898395721925,748,0.08064059067854348
FOXA1,STAC2,0,0,real,rna_only,17,-0.004558765725730694,-0.004682454624141269,-0.004437220071339913,0.9986631016042781,748,-0.4023842458478703
FOXA1,CDC6,0,0,real,rna_only,17,9.89018053765975e-05,1.4346630500095143e-05,0.00018533420554775676,0.4318181818181818,748,-0.06622119108680485
FOXA1,TMEM97,0,0,real,rna_only,17,0.0007053524796118874,0.0006132905792885716,0.0008026371794149331,0.25935828877005346,748,0.1256159054300493
FOXA1,EGFR,0,0,real,rna_only,17,-0.002678554719928221,-0.0027811908778440243,-0.0025724940469078477,0.9719251336898396,748,-0.4486575880831938
FOXA1,LAMB3,0,0,real,rna_only,17,-0.0019929862112211937,-0.0021260109240715873,-0.001860732045620198,0.8689839572192514,748,-0.2580853121121694
FOXA1,AEBP1,0,0,real,rna_only,17,-0.0005244657752949106,-0.0006393135733941477,-0.0004082005484022998,0.6497326203208557,748,0.10415619913093038
FOXA1,CHI3L1,0,0,real,rna_only,17,-0.0041332186232096845,-0.004265496049534093,-0.004002869596225276,0.9906417112299465,748,-0.4707492930533526
FOXA1,HTATIP2,0,0,real,rna_only,17,-0.0012426297069127127,-0.001335156723705856,-0.0011515584332850218,0.8596256684491979,748,-0.14975633311538783
FOXA1,PLTP,0,0,real,rna_only,17,-0.0034469336269210868,-0.0035601940774981342,-0.003336211554769389,0.9692513368983957,748,-0.4649382534027215
FOXA1,RFC4,0,0,real,rna_only,17,-0.0004636046678780741,-0.0006184196143185726,-0.00031872968563254647,0.5868983957219251,748,-0.13013403958274744
