tf,target,edge_sign,coexpr__pooled,coexpr__ER_IHC=Negative,coexpr__ER_IHC=Positve
FOXM1,CHEK1,1,0.6635744812984656,0.6510614278413773,0.5630184838671853
MYC,CHEK1,1,0.27948928542322765,0.42776208444831726,0.19524394661032338
TP53,CHEK1,-1,0.052435043065640126,0.10681424853103949,0.07422144738701127
E2F4,CHEK1,1,0.2899664087730386,0.1821059647831453,0.10461449729385762
E2F1,CHEK2,1,0.013949596257978864,-0.001555267597328299,0.00629003841126004
MYC,CHEK2,1,0.32039520664878945,0.4278974813441748,0.2553303072880637
PITX2,CHEK2,1,0.012373647140774942,0.10799842400125118,-0.023516062460235163
TP53,CHEK2,-1,0.06399593442801729,0.12447730648704902,0.05948045396946918
DNMT3B,DNMT3A,1,-0.12765694718305448,-0.055183840208854744,-0.11884758670684778
E2F1,DNMT3A,-1,-0.015460526878525855,-0.0015144333434163016,-0.01586303583097632
RB1,DNMT3A,-1,0.057111358152225046,-0.03440268920866568,0.058642684871294766
DNMT3A,DNMT3B,1,-0.12765694718305448,-0.055183840208854744,-0.1188475867068478
HOXB13,DNMT3B,1,0.14487866083678985,0.046284450243629906,0.14406954267384056
ESR1,E2F1,1,0.020341633454837502,-0.005737967277818184,0.0738991032357807
MYBL2,E2F1,-1,0.06129636677983421,-0.011816640105105738,0.0832810696698958
MYC,E2F1,1,-0.04814514442096877,-0.029583795817907602,-0.05119771283799866
PGR,E2F1,1,0.01645925542564984,-0.04145886053782708,0.05998043486038139
RB1,E2F1,-1,-0.056404935530906884,-0.04492016661281509,-0.05644033271176189
TP53,E2F1,-1,-0.029981153196437217,-0.004401320982635036,-0.038158154251323156
E2F4,E2F1,-1,0.01197052054756685,0.009619234490242896,-0.0049162188529504785
AR,EGFR,-1,-0.3418504856094864,-0.0713586443815525,-0.19970106407445212
BRCA1,EGFR,-1,-0.3035628176739845,-0.06401159948481672,-0.3974740330145689
ESR1,EGFR,1,-0.6260363203190377,-0.2424460017359857,-0.4291578702714865
GATA3,EGFR,1,-0.6032847782314945,-0.2754280544919415,-0.38036207767260766
MYC,EGFR,1,0.25505328079888245,0.06481131887795435,0.20187851721616143
PGR,EGFR,1,-0.3319053211651618,-0.07283077699494386,-0.08372923386906468
SMAD4,EGFR,-1,0.10533036994008746,0.06594592160942987,0.12921191864516549
