tf,target,edge_sign,coexpr__pooled,coexpr__INTCLUST=1,coexpr__INTCLUST=10,coexpr__INTCLUST=2,coexpr__INTCLUST=3,coexpr__INTCLUST=4ER+,coexpr__INTCLUST=4ER-,coexpr__INTCLUST=5,coexpr__INTCLUST=6,coexpr__INTCLUST=7,coexpr__INTCLUST=8,coexpr__INTCLUST=9
FOXA1,AR,-1,0.5113406923323334,0.21247107090258782,0.4206954335986594,0.44028968934629303,0.31375971543234626,0.527002073000757,0.7492436974789916,0.17021314625318376,-0.02638815441565309,0.1687932884596625,0.2712932027152645,0.3531276063386155
FOXM1,AR,1,-0.18127107887357075,-0.08380233536713654,-0.2838709677419355,0.19085191538021723,0.19413232273449435,0.2667779813830853,-0.24465786314525811,0.07587917243844675,0.15579058699101003,0.21038923031899331,0.26906713942977467,-0.07738856454452786
HOXB13,AR,-1,0.05311191096895667,0.2088680833158005,-0.021227159936837353,-0.1348961311225462,0.07801000946212591,0.01652505673339748,0.4781272509003601,0.03141784708878859,0.06361713379164462,0.19909277143693302,0.18040630339851904,0.10751552219442129
MYBL2,AR,1,-0.00023090367908670158,0.07883179044813801,0.18079662273210662,0.2782923575376405,0.08783577360708482,0.11946050096339113,0.022713085234093634,0.12128781446892174,0.012004230565838178,-0.036757389522973374,-0.041168362679659426,-0.22994161801501253
MYC,AR,1,-0.33637805869393916,-0.04816694719124763,-0.22281911636750346,0.06605679435868114,-0.19910368535927583,-0.2584883367175837,-0.253109243697479,-0.14316099915098973,0.044262295081967204,-0.1775192664130329,-0.35222051538740345,-0.196969696969697
NCOA3,AR,1,0.05995119381845236,0.2851488533557753,0.3213270600367375,0.07307032590051457,0.18494042622765958,-0.0128578006722539,-0.03687963697670396,0.14528368703222683,0.13014450218617774,0.06571553994732222,0.26136487763677363,0.04565863061225277
NCOR1,AR,1,0.19102826081654886,0.22614664422470016,0.04709806322709548,0.3663426720030494,0.21950831264483225,0.16806871325376216,0.05056422569027611,0.11651995174047096,0.12998413537810682,0.12685591649595163,0.1202296090088002,0.021564266518394958
SMAD3,AR,1,0.22570227174762056,0.1804255207237534,0.013939308980245901,0.44882790165809033,0.26143673604329737,0.2795084228921544,-0.3865066026410564,-0.012650266600690007,0.24394500264410357,0.18010438006048193,0.2130511745642929,0.12561393754054306
SMAD4,AR,-1,-0.19519085670150518,-0.014122659373027561,-0.1379363684190197,-0.1462550028587764,-0.1354067369393914,-0.2044395023616423,-0.35414165666266506,-0.19657289933979302,-0.18003939768095983,-0.14684908789386403,-0.282590835163764,-0.2838383838383839
TP53,AR,-1,0.050601291675966956,0.11634756995581737,0.0477554703361155,0.062168858395273474,0.19142256276192254,-0.1969185633798166,-0.18751500600240098,-0.01232405380043791,-0.10126916975145424,0.21865183884499073,0.0744261624079357,-0.1477342229635808
TWIST1,AR,1,-0.2464575953768376,-0.08939091100357668,-0.10905546066836388,-0.4400609872307985,-0.3432793238457041,-0.4076736403449812,-0.09464585834333733,-0.09341793645828676,-0.20962453728186142,-0.1526972978246025,-0.3069506532958213,-0.07587804652024836
ZEB1,AR,-1,-0.05694350663846878,-0.09741216074058487,0.15090393477490252,-0.15769010863350483,-0.13719985465495121,-0.216448291984371,0.04403361344537814,-0.10772599311854862,-0.24748810153358006,-0.15755048287971907,-0.25696545112573727,-0.0770364192382541
